"last_name, first_name",pitcher,ff_n_stuff_plus,si_n_stuff_plus,fc_n_stuff_plus,sl_n_stuff_plus,ch_n_stuff_plus,cu_n_stuff_plus,fs_n_stuff_plus,kn_n_stuff_plus,st_n_stuff_plus,sv_n_stuff_plus
"Fisher, Braydon",680755,,,,,,,,,,
"Leiter Jr., Mark",643410,,,,,,,,,,
"Myers, Tobias",668964,,,,,,,,,,
"Brash, Matt",666374,,,,,,,,,,
"Morales, Luis",806960,,,,,,,,,,
"Festa, Matt",670036,,,,,,,,,,
"Beck, Tristan",663941,,,,,,,,,,
"Wilson, Justin",458677,,,,,,,,,,
"Walter, Brandon",687888,,,,,,,,,,
"Rodríguez, Randy",678495,,,,,,,,,,
"Pomeranz, Drew",519141,,,,,,,,,,
"Blanco, Ronel",669854,,,,,,,,,,
"Cruz, Fernando",518585,,,,,,,,,,
"Cavalli, Cade",676917,,,,,,,,,,
"Ort, Kaleb",672391,,,,,,,,,,
"Long, Sam",669674,,,,,,,,,,
"Bender, Anthony",669622,,,,,,,,,,
"Jackson, Luke",592426,,,,,,,,,,
"King, John",667463,,,,,,,,,,
"Carrasco, Carlos",471911,,,,,,,,,,
"Mattson, Isaac",676755,,,,,,,,,,
"Knack, Landon",689017,,,,,,,,,,
"Kittredge, Andrew",552640,,,,,,,,,,
"Morgan, David",688158,,,,,,,,,,
"Alvarado, Elvis",665660,,,,,,,,,,
"Burns, Chase",695505,,,,,,,,,,
"Yates, Kirby",489446,,,,,,,,,,
"Hernández, Carlos",672578,,,,,,,,,,
"O'Brien, Riley",676617,,,,,,,,,,
"Graceffo, Gordon",700669,,,,,,,,,,
"Megill, Trevor",656730,,,,,,,,,,
"Ohtani, Shohei",660271,,,,,,,,,,
"Herrin, Tim",682120,,,,,,,,,,
"Houck, Tanner",656557,,,,,,,,,,
"Clase, Emmanuel",661403,,,,,,,,,,
"Boushley, Caleb",676961,,,,,,,,,,
"Enns, Dietrich",608650,,,,,,,,,,
"McLean, Nolan",690997,,,,,,,,,,
"Fitts, Richard",690916,,,,,,,,,,
"Sousa, Bennett",656986,,,,,,,,,,
"Bowlan, Jonathan",680742,,,,,,,,,,
"Funderburk, Kody",681892,,,,,,,,,,
"Englert, Mason",669438,,,,,,,,,,
"Abel, Mick",690953,,,,,,,,,,
"Lively, Ben",594902,,,,,,,,,,
"Coulombe, Danny",543056,,,,,,,,,,
"Hernández, Daysbel",678226,,,,,,,,,,
"Cabrera, Génesis",650893,,,,,,,,,,
"Smith-Shawver, AJ",700363,,,,,,,,,,
"Blewett, Scott",656240,,,,,,,,,,
"Green, Chad",643338,,,,,,,,,,
"Montas, Frankie",593423,,,,,,,,,,
"Palmquist, Carson",687223,,,,,,,,,,
"Stroman, Marcus",573186,,,,,,,,,,
"Miller, Shelby",571946,,,,,,,,,,
"Romano, Jordan",605447,,,,,,,,,,
"Soriano, George",666277,,,,,,,,,,
"Shugart, Chase",663767,,,,,,,,,,
"Hart, Kyle",606996,,,,,,,,,,
"Orze, Eric",679358,,,,,,,,,,
"Rolison, Ryan",669020,,,,,,,,,,
"Richardson, Lyon",680689,,,,,,,,,,
"Ogasawara, Shinnosuke",829272,,,,,,,,,,
"Flexen, Chris",623167,,,,,,,,,,
"Blackburn, Paul",621112,,,,,,,,,,
"Oviedo, Johan",670912,,,,,,,,,,
"Adams, Travis",701519,,,,,,,,,,
"Pressly, Ryan",519151,,,,,,,,,,
"Kelly, Michael",547184,,,,,,,,,,
"Melton, Troy",675512,,,,,,,,,,
"Thornton, Trent",663423,,,,,,,,,,
"Nicolas, Kyle",693312,,,,,,,,,,
"Thompson, Ryan",657044,,,,,,,,,,
"Lazar, Max",676661,,,,,,,,,,
"Bieber, Shane",669456,,,,,,,,,,
"Fermin, José",820862,,,,,,,,,,
"Cruz, Steven",674444,,,,,,,,,,
"Weathers, Ryan",677960,,,,,,,,,,
"Hamilton, Ian",641656,,,,,,,,,,
"Martin, Chris",455119,,,,,,,,,,
"Perkins, Jack",678022,,,,,,,,,,
"Halvorsen, Seth",678020,,,,,,,,,,
"DeSclafani, Anthony",543101,,,,,,,,,,
"Lucchesi, Joey",664192,,,,,,,,,,
"Bautista, Félix",642585,,,,,,,,,,
"Messick, Parker",800048,,,,,,,,,,
"Woodford, Jake",663765,,,,,,,,,,
"Hodge, Porter",687863,,,,,,,,,,
"Sasaki, Roki",808963,,,,,,,,,,
"Seymour, Carson",693313,,,,,,,,,,
"Winn, Cole",668390,,,,,,,,,,
"Arrighetti, Spencer",681293,,,,,,,,,,
"Javier, Cristian",664299,,,,,,,,,,
"Morillo, Juan",666661,,,,,,,,,,
"Chafin, Andrew",605177,,,,,,,,,,
"Simpson, Josh",681006,,,,,,,,,,
"Stewart, Brock",592779,,,,,,,,,,
"Taylor, Grant",691799,,,,,,,,,,
"Gonsolin, Tony",664062,,,,,,,,,,
"Molina, Anthony",683627,,,,,,,,,,
"Ramírez, Yohan",670990,,,,,,,,,,
"Lee, Chase",695445,,,,,,,,,,
"Cortes, Nestor",641482,,,,,,,,,,
"Borucki, Ryan",621366,,,,,,,,,,
"De los Santos, Yerry",660787,,,,,,,,,,
"Kelly, Kevin",687330,,,,,,,,,,
"Hall, DL",669084,,,,,,,,,,
"Harrison, Kyle",690986,,,,,,,,,,
"Garcia, Rico",670329,,,,,,,,,,
"Jacob, Alek",689690,,,,,,,,,,
"Hatch, Thomas",641672,,,,,,,,,,
"Kelly, Zack",677161,,,,,,,,,,
"Teng, Kai-Wei",678906,,,,,,,,,,
"Booser, Cam",592155,,,,,,,,,,
"Murphy, Chris",669684,,,,,,,,,,
"Assad, Javier",665871,,,,,,,,,,
"Dana, Caden",702674,,,,,,,,,,
"Dubin, Shawn",681869,,,,,,,,,,
"Neris, Héctor",593576,,,,,,,,,,
"Hoglund, Gunnar",680684,,,,,,,,,,
"Curtiss, John",595928,,,,,,,,,,
"Salazar, Eduardo",674285,,,,,,,,,,
"Ohl, Pierson",701487,,,,,,,,,,
"Castillo, José",620454,,,,,,,,,,
"Scott, Tayler",605463,,,,,,,,,,
"Dodd, Dylan",689266,,,,,,,,,,
"Crismatt, Nabil",622503,,,,,,,,,,
"Enright, Nic",663671,,,,,,,,,,
"Gage, Matt",657424,,,,,,,,,,
"Kranick, Max",668820,,,,,,,,,,
"Agnos, Zach",688642,,,,,,,,,,
"Fernandez, Ryan",681676,,,,,,,,,,
"Feltner, Ryan",663372,,,,,,,,,,
"Wolfram, Grant",664991,,,,,,,,,,
"Waddell, Brandon",663399,,,,,,,,,,
"Sauer, Matt",669422,,,,,,,,,,
"Treinen, Blake",595014,,,,,,,,,,
"Wesneski, Hayden",669713,,,,,,,,,,
"Blubaugh, AJ",805123,,,,,,,,,,
"Sabrowski, Erik",681870,,,,,,,,,,
"Brown, McCade",685326,,,,,,,,,,
"Ribalta, Orlando",687377,,,,,,,,,,
"Pilkington, Konnor",663455,,,,,,,,,,
"Slaten, Justin",686580,,,,,,,,,,
"Reynolds, Sean",669308,,,,,,,,,,
"Bradish, Kyle",680694,,,,,,,,,,
"Holderman, Colin",670059,,,,,,,,,,
"Ginkel, Kevin",656464,,,,,,,,,,
"Mazur, Adam",800049,,,,,,,,,,
"Hill, Jaden",677955,,,,,,,,,,
"Miller, Erik",669062,,,,,,,,,,
"Veneziano, Anthony",685107,,,,,,,,,,
"Snider, Collin",676092,,,,,,,,,,
"Gillispie, Connor",687362,,,,,,,,,,
"Brubaker, JT",664141,,,,,,,,,,
"Loáisiga, Jonathan",642528,,,,,,,,,,
"Beeter, Clayton",690925,,,,,,,,,,
"Gipson-Long, Sawyer",687830,,,,,,,,,,
"Chandler, Bubba",696149,,,,,,,,,,
"Nance, Tommy",667297,,,,,,,,,,
"Fulmer, Carson",608334,,,,,,,,,,
"Brzykcy, Zach",694350,,,,,,,,,,
"Brebbia, John",605154,,,,,,,,,,
"Alvarado, José",621237,,,,,,,,,,
"Altavilla, Dan",656186,,,,,,,,,,
"Payamps, Joel",606303,,,,,,,,,,
"Schultz, Paxton",687606,,,,,,,,,,
"Bowman, Matt",621199,,,,,,,,,,
"Lucas, Easton",687922,,,,,,,,,,
"Pérez, Cionel",672335,,,,,,,,,,
"Peralta, Luis",678821,,,,,,,,,,
"Rodríguez, Manuel",655889,,,,,,,,,,
"Barnett, Mason",686930,,,,,,,,,,
"Backhus, Kyle",679775,,,,,,,,,,
"Saalfrank, Andrew",685314,,,,,,,,,,
"Cox, Austin",680735,,,,,,,,,,
"Poulin, PJ",676571,,,,,,,,,,
"Alvarez, Andrew",674841,,,,,,,,,,
"Mey, Luis",682825,,,,,,,,,,
"Stratton, Chris",608717,,,,,,,,,,
"Henderson, Logan",701656,,,,,,,,,,
"Jarvis, Bryce",686826,,,,,,,,,,
"Whisenhunt, Carson",687931,,,,,,,,,,
"Strowd, Kade",669704,,,,,,,,,,
"Brieske, Beau",689225,,,,,,,,,,
"Farris, Mitch",815083,,,,,,,,,,
"Brasier, Ryan",518489,,,,,,,,,,
"Tonkin, Michael",543859,,,,,,,,,,
"Roycroft, Chris",688297,,,,,,,,,,
"Murdock, Noah",668716,,,,,,,,,,
"Raley, Brooks",548384,,,,,,,,,,
"Gibaut, Ian",664139,,,,,,,,,,
"Sulser, Cole",642121,,,,,,,,,,
"López, Jorge",605347,,,,,,,,,,
"Hagenman, Justin",663795,,,,,,,,,,
"Kriske, Brooks",621139,,,,,,,,,,
"Phillips, Connor",683175,,,,,,,,,,
"Holman, Grant",680880,,,,,,,,,,
"Dunning, Dane",641540,,,,,,,,,,
"Tong, Jonah",804636,,,,,,,,,,
"González, Wikelman",682790,,,,,,,,,,
"Headrick, Brent",687396,,,,,,,,,,
"Díaz, Alexis",664747,,,,,,,,,,
"Granillo, Andre",701552,,,,,,,,,,
"García, Yimi",554340,,,,,,,,,,
"Merryweather, Julian",657240,,,,,,,,,,
"Zastryzny, Rob",642239,,,,,,,,,,
"Stratton, Hunter",676702,,,,,,,,,,
"Wells, Tyler",669330,,,,,,,,,,
"Rodríguez, Elvin",660730,,,,,,,,,,
"Bachman, Sam",696147,,,,,,,,,,
"Martin, Corbin",656686,,,,,,,,,,
"Strickland, Hunter",519326,,,,,,,,,,
"Moll, Sam",594580,,,,,,,,,,
"Ellard, Fraser",686642,,,,,,,,,,
"Sisk, Evan",681895,,,,,,,,,,
"Petersen, Michael",656848,,,,,,,,,,
"Curvelo, Luis",681168,,,,,,,,,,
"Graveman, Kendall",608665,,,,,,,,,,
"Early, Connelly",813349,,,,,,,,,,
"Rashi, Taylor",688497,,,,,,,,,,
"Hudson, Bryan",663542,,,,,,,,,,
"Sewald, Paul",623149,,,,,,,,,,
"Peguero, Joel",666711,,,,,,,,,,
"Mederos, Victor",682989,,,,,,,,,,
"Hiraldo, Yaramil",682274,,,,,,,,,,
"Alexander, Scott",518397,,,,,,,,,,
"Steele, Justin",657006,,,,,,,,,,
"Tidwell, Blade",694918,,,,,,,,,,
"Kent, Zak",687849,,,,,,,,,,
"Klein, Will",694361,,,,,,,,,,
"Tolle, Payton",801139,,,,,,,,,,
"Tinoco, Jesus",622786,,,,,,,,,,
"Robertson, David",502085,,,,,,,,,,
"Aldegheri, Sam",691951,,,,,,,,,,
"Ruiz, José",614179,,,,,,,,,,
"Eder, Jake",671109,,,,,,,,,,
"Mayza, Tim",641835,,,,,,,,,,
"McGough, Scott",543518,,,,,,,,,,
"Suarez, José",660761,,,,,,,,,,
"Fuentes, Didier",800311,,,,,,,,,,
"Sproat, Brandon",687075,,,,,,,,,,
"Sandlin, Nick",680704,,,,,,,,,,
