"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
"Meyer, Max",676974,MIA,FF,4-Seam Fastball,2.8,0,16,19.8,5,0.2,0.4,0.25,0.0,0.0,0.0,0.331,0.66,0.421,60.0
"Springs, Jeffrey",605488,ATH,FF,4-Seam Fastball,-1.7,-1,31,37.3,5,0.6,0.6,0.54,0.0,0.0,0.0,0.412,0.508,0.401,40.0
"Cecconi, Slade",677944,CLE,FF,4-Seam Fastball,-3.0,-1,34,36.6,5,0.4,1.0,0.58,20.0,20.0,20.0,0.559,1.089,0.697,50.0
"Peterson, David",656849,NYM,FF,4-Seam Fastball,1.2,0,22,28.9,5,0.25,0.25,0.32,14.3,0.0,,0.376,0.467,0.43,75.0
"Estrada, Jeremiah",669093,SD,FF,4-Seam Fastball,-5.3,-1,12,44.4,5,0.333,0.333,0.46,33.3,40.0,66.7,0.035,0.043,0.3,0.0
"Bibee, Tanner",676440,CLE,FF,4-Seam Fastball,-5.9,-2,26,33.3,5,0.5,1.5,0.79,30.0,20.0,20.0,0.209,0.629,0.415,66.7
"Morgan, David",688158,SD,FF,4-Seam Fastball,3.2,0,13,41.9,5,0.25,0.25,0.32,14.3,0.0,0.0,0.319,0.397,0.39,25.0
"Weaver, Luke",596133,NYM,FF,4-Seam Fastball,3.0,1,22,57.9,5,0.0,0.0,0.175,28.6,20.0,20.0,0.05,0.056,0.211,0.0
"Estévez, Carlos",608032,KC,FF,4-Seam Fastball,-15.3,-2,15,55.6,5,1.0,2.0,1.04,16.7,0.0,0.0,0.579,1.242,0.737,100.0
"Armstrong, Shawn",542888,CLE,FF,4-Seam Fastball,-6.3,-1,10,34.5,5,0.25,1.0,0.54,50.0,40.0,50.0,0.277,0.996,0.555,50.0
"Pushard, Matt",690155,STL,FF,4-Seam Fastball,-5.5,-1,14,45.2,5,0.5,0.5,0.5,16.7,20.0,33.3,0.34,0.419,0.405,66.7
"Rasmussen, Drew",656876,TB,FF,4-Seam Fastball,-5.8,-1,23,31.5,5,0.6,1.2,0.76,7.7,0.0,0.0,0.483,0.946,0.603,60.0
"Anderson, Drew",623454,DET,FF,4-Seam Fastball,1.8,0,20,55.6,5,0.25,0.25,0.32,27.3,0.0,0.0,0.501,0.746,0.564,75.0
"Boyle, Joe",671212,TB,FF,4-Seam Fastball,-1.0,0,19,25.3,5,0.4,0.4,0.36,33.3,20.0,25.0,0.547,0.732,0.551,75.0
"Weiss, Ryan",680802,HOU,FF,4-Seam Fastball,-12.0,-2,13,59.1,4,0.667,1.667,0.9,0.0,0.0,0.0,0.527,0.97,0.65,33.3
"Paez, Jedixson",699151,CWS,FF,4-Seam Fastball,-9.6,-2,17,45.9,4,0.5,1.25,0.725,20.0,0.0,0.0,0.293,0.639,0.396,75.0
"Headrick, Brent",687396,NYY,FF,4-Seam Fastball,3.9,0,11,37.9,4,0.0,0.0,0.175,0.0,25.0,25.0,0.183,0.494,0.384,50.0
"Sabrowski, Erik",681870,CLE,FF,4-Seam Fastball,-0.6,0,18,50.0,4,0.0,0.0,0.35,62.5,50.0,40.0,,,0.35,
"Kikuchi, Yusei",579328,LAA,FF,4-Seam Fastball,-0.2,0,17,19.8,4,0.25,0.25,0.225,33.3,25.0,20.0,0.177,0.23,0.178,66.7
"Legumina, Casey",668984,SEA,FF,4-Seam Fastball,-1.8,0,21,40.4,4,0.333,0.667,0.488,7.7,25.0,11.1,0.321,0.966,0.573,100.0
"Hoffmann, Andrew",694851,AZ,FF,4-Seam Fastball,5.5,1,15,45.5,4,0.25,0.25,0.225,11.1,0.0,0.0,0.304,0.346,0.282,75.0
